timestamp,cpu_percent,mem_percent,io_read_kbps,io_write_kbps,process_count,syscall_rate_per_sec
1775489054.7933936,0.3,67.2,0.0,0.0,0.0,3.4
1775489059.7933936,0.6,67.2,0.0,0.0,0.0,3.4
1775489064.7933936,0.9,67.2,0.0,0.0,0.0,3.4
1775489069.7933936,0.9,67.2,0.0,0.0,0.0,3.4
1775489074.7933936,0.6,67.4,0.0,0.0,0.0,3.4
1775489079.7933936,0.6,67.6,0.0,0.0,0.0,3.4
1775489084.7933936,1.3,67.5,0.0,0.0,0.0,3.4
1775489089.7933936,8.5,67.4,0.0,0.0,0.0,3.4
1775489094.7933936,12.3,68.1,0.0,0.0,0.0,9.6
1775489099.7933936,0.6,68.8,0.0,0.0,0.0,3.4
1775489104.7933936,6.0,67.8,0.0,0.0,0.0,3.4
1775489109.7933936,1.3,68.0,0.0,0.0,0.0,3.4
1775489114.7933936,1.3,67.9,0.0,0.0,0.0,3.4
1775489119.7933936,3.2,67.7,0.0,0.0,0.0,3.4
1775489124.7933936,1.9,68.9,0.0,0.0,0.0,3.4
1775489129.7933936,2.5,68.8,0.0,0.0,0.0,3.4
1775489134.7933936,12.1,69.7,0.0,0.0,0.0,3.4
1775489139.7933936,4.1,68.9,0.0,0.0,0.0,3.4
1775489144.7933936,5.4,68.8,0.0,0.0,0.0,3.4
1775489149.7933936,0.6,69.3,0.0,0.0,0.0,3.4
1775489154.7933936,6.4,69.0,0.0,0.0,0.0,3.4
1775489159.7933936,5.7,69.3,0.0,0.0,0.0,3.4
1775489164.7933936,7.6,69.2,0.0,0.0,0.0,3.4
1775489169.7933936,2.8,69.1,0.0,0.0,0.0,3.4
1775489174.7933936,11.9,70.0,0.0,0.0,0.0,3.4
1775489179.7933936,1.9,68.4,0.0,0.0,0.0,3.4
1775489184.7933936,1.9,68.1,0.0,0.0,0.0,3.4
1775489189.7933936,5.4,68.5,0.0,0.0,0.0,3.4
1775489194.7933936,0.6,68.2,0.0,0.0,0.0,3.4
1775489199.7933936,0.3,68.1,0.0,0.0,0.0,3.4
1775489204.7933936,1.6,67.3,0.0,0.0,0.0,3.4
1775489209.7933936,0.6,67.2,0.0,0.0,0.0,3.4
1775489214.7933936,28.8,67.6,0.0,0.0,0.0,3.4
1775489219.7933936,1.9,67.4,0.0,0.0,0.0,3.4
1775489224.7933936,0.6,67.4,0.0,0.0,0.0,3.4
1775489229.7933936,1.6,67.3,0.0,0.0,0.0,3.4
1775489234.7933936,0.9,67.3,0.0,0.0,0.0,3.4
1775489239.7933936,6.0,68.1,0.0,0.0,0.0,3.4
1775489244.7933936,0.9,68.1,0.0,0.0,0.0,3.4
1775489249.7933936,9.5,68.5,0.0,0.0,0.0,3.4
1775489254.7933936,7.9,66.7,0.0,0.0,0.0,3.4
1775489259.7933936,6.0,68.5,0.0,0.0,0.0,3.8
1775489264.7933936,1.6,67.5,0.0,0.0,0.0,3.4
1775489269.7933936,1.6,67.3,0.0,0.0,0.0,3.4
1775489274.7933936,6.0,67.3,0.0,0.0,0.0,3.4
1775489279.7933936,1.3,66.4,0.0,0.0,0.0,3.4
1775489284.7933936,2.9,67.0,0.0,0.0,0.0,3.4
1775489289.7933936,3.4,66.9,0.0,0.0,0.0,3.4
1775489294.7933936,3.5,68.4,0.0,0.0,0.0,3.4
1775489299.7933936,7.0,67.3,0.0,0.0,0.0,3.4
1775489304.7933936,1.3,66.3,0.0,0.0,0.0,3.4
1775489309.7933936,2.5,65.9,0.0,0.0,0.0,3.4
1775489314.7933936,14.2,65.7,0.0,0.0,0.0,3.4
1775489319.7933936,2.2,64.7,0.0,0.0,0.0,3.4
1775489324.7933936,1.9,64.9,0.0,0.0,0.0,3.4
1775489329.7933936,3.5,64.8,0.0,0.0,0.0,3.4
1775489334.7933936,1.3,65.2,0.0,0.0,0.0,3.4
1775489339.7933936,2.8,64.9,0.0,0.0,0.0,3.4
1775489344.7933936,2.8,64.6,0.0,0.0,0.0,3.4
1775489349.7933936,3.1,64.5,0.0,0.0,0.0,3.4
1775489354.7933936,2.8,63.7,0.0,0.0,0.0,3.4
1775489359.7933936,4.1,63.6,0.0,0.0,0.0,3.4
1775489364.7933936,3.1,63.5,0.0,0.0,0.0,3.4
1775489369.7933936,7.9,63.8,0.0,0.0,0.0,4.8
1775489374.7933936,3.4,67.3,0.0,0.0,0.0,4.2
1775489379.7933936,0.6,67.0,0.0,0.0,0.0,3.4
1775489384.7933936,8.5,67.3,0.0,0.0,0.0,3.4
1775489389.7933936,8.8,68.0,0.0,0.0,0.0,3.4
1775489394.7933936,3.1,67.9,0.0,0.0,0.0,3.4
1775489399.7933936,0.9,66.6,0.0,0.0,0.0,3.4
1775489404.7933936,5.4,66.9,0.0,0.0,0.0,3.4
1775489409.7933936,7.0,66.5,0.0,0.0,0.0,3.4
1775489414.7933936,3.4,66.8,0.0,0.0,0.0,3.4
1775489419.7933936,8.5,66.7,0.0,0.0,0.0,3.8
1775489424.7933936,8.6,67.0,0.0,0.0,0.0,3.4
1775489429.7933936,22.9,67.2,0.0,0.0,0.0,3.4
1775489434.7933936,10.8,66.9,0.0,0.0,0.0,3.4
1775489439.7933936,12.7,66.6,0.0,0.0,0.0,3.4
1775489444.7933936,9.2,66.8,0.0,0.0,0.0,3.4
1775489449.7933936,12.0,67.4,0.0,0.0,0.0,3.4
1775489454.7933936,10.4,67.3,0.0,0.0,0.0,3.4
1775489459.7933936,13.6,67.1,0.0,0.0,0.0,3.4
1775489464.7933936,26.6,67.2,0.0,0.0,0.0,3.4
1775489469.7933936,9.5,67.4,0.0,0.0,0.0,3.4
1775489474.7933936,31.4,67.7,0.0,0.0,0.0,3.4
1775489479.7933936,8.9,67.2,0.0,0.0,0.0,3.4
1775489484.7933936,11.6,67.4,0.0,0.0,0.0,3.4
1775489489.7933936,27.8,67.3,0.0,0.0,0.0,3.4
1775489494.7933936,15.2,66.7,0.0,0.0,0.0,3.4
1775489499.7933936,8.8,67.4,0.0,0.0,0.0,3.4
1775489504.7933936,19.3,67.3,0.0,0.0,0.0,3.4
1775489509.7933936,10.4,67.2,0.0,0.0,0.0,3.4
1775489514.7933936,7.9,67.5,0.0,0.0,0.0,3.4
1775489519.7933936,9.5,67.5,0.0,0.0,0.0,3.4
1775489524.7933936,17.5,67.6,0.0,0.0,0.0,3.4
1775489529.7933936,8.6,67.4,0.0,0.0,0.0,3.4
1775489534.7933936,19.1,67.5,0.0,0.0,0.0,3.4
1775489539.7933936,18.8,67.7,0.0,0.0,0.0,3.4
1775489544.7933936,19.4,67.8,0.0,0.0,0.0,3.4
1775489549.7933936,8.6,67.7,0.0,0.0,0.0,3.4
1775489554.7933936,18.4,67.8,0.0,0.0,0.0,3.4
1775489559.7933936,8.1,68.0,0.0,0.0,0.0,3.4
